age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_spend,online_spend_ratio,age_group,income_group,tech_adoption_score
56,221111,6.5,12,0.7,1,6,16,16,28551,144092,2,3,2,6,7,7,1,3,6,5,2,Other,Tier 3,Store,172643,0.16537594921311607,Boomer,High,4.14
69,96029,8.2,13,2.7,6,9,14,1,124056,28421,4,7,4,1,3,4,9,6,8,1,7,Male,Tier 3,Hybrid,152477,0.8136046748034129,Silent,Lower-Mid,6.82
46,19055,6.4,4,2.1,10,8,2,0,81939,128229,9,4,5,3,4,10,1,1,3,3,3,Female,Tier 3,Store,210168,0.3898738152335275,GenX,Low,6.58
32,53170,6.4,11,0.7,2,10,20,3,35901,134650,7,0,3,3,10,2,4,8,2,6,6,Female,Tier 1,Store,170551,0.2105000850185575,Millennial,Low,5.1
60,244016,6.0,5,0.7,2,5,18,16,131971,34122,5,9,2,4,2,5,8,9,7,1,6,Male,Tier 3,Store,166093,0.7945608785439483,Boomer,High,3.94
25,114976,7.6,6,4.0,1,7,31,6,92423,123383,2,8,3,5,10,6,6,3,4,4,8,Other,Tier 2,Store,215806,0.428268908186056,GenZ,Middle,5.4399999999999995
78,43251,4.9,6,3.2,1,8,10,4,26398,18035,9,5,5,5,2,8,9,4,9,9,8,Other,Tier 2,Hybrid,44433,0.5941079828055724,Silent,Low,4.4
38,150604,3.1,10,3.7,4,9,17,7,131561,33308,2,1,2,10,10,8,8,9,6,1,4,Other,Tier 2,Store,164869,0.7979729360886522,GenX,Middle,4.58
56,150996,7.3,2,1.1,5,3,28,0,123438,97145,7,6,4,5,2,9,8,2,6,6,4,Female,Tier 3,Store,220583,0.5595988811467792,Boomer,Middle,4.74
75,63037,6.8,4,2.9,4,8,2,9,74311,79808,10,0,2,2,9,6,9,1,5,1,7,Female,Tier 3,Store,154119,0.4821663779287434,Silent,Lower-Mid,5.7
36,224154,8.6,12,5.4,6,3,49,3,56198,140722,9,0,7,10,10,9,9,10,8,10,5,Male,Tier 3,Store,196920,0.28538492788949826,GenX,High,6.32
40,107115,1.1,9,2.2,8,1,3,13,40543,46725,4,8,6,9,6,3,8,2,7,2,5,Female,Tier 3,Store,87268,0.4645803731035431,GenX,Lower-Mid,2.6799999999999997
28,217693,5.8,7,2.6,2,4,27,8,83429,122126,9,2,7,9,3,7,10,1,7,6,5,Other,Tier 2,Store,205555,0.40587190776191284,Millennial,High,4.040000000000001
28,92926,6.2,9,2.5,1,7,8,16,81177,19617,8,7,6,4,10,6,9,3,1,5,8,Male,Tier 2,Store,100794,0.8053753199595214,Millennial,Lower-Mid,4.58
41,224888,3.0,6,2.4,2,9,37,13,49294,103713,7,4,3,3,1,2,10,7,5,5,1,Male,Tier 2,Store,153007,0.3221682668113224,GenX,High,3.88
70,235726,5.8,11,1.5,10,10,6,18,73565,139218,8,1,6,6,1,1,9,10,8,4,10,Male,Tier 1,Store,212783,0.34572780720264307,Silent,High,6.62
53,85400,8.4,7,2.6,6,7,0,1,30148,58440,4,1,7,1,1,7,5,10,5,3,1,Other,Tier 2,Store,88588,0.3403169729534474,Boomer,Lower-Mid,6.4799999999999995
57,114525,10.2,9,4.6,4,10,34,13,98395,98336,7,4,1,4,2,7,10,5,8,7,6,Female,Tier 1,Store,196731,0.5001499509482491,Boomer,Middle,7.8
41,116164,8.0,14,2.4,7,5,46,8,23909,42179,3,1,5,2,10,9,1,3,5,6,8,Female,Tier 2,Store,66088,0.3617752088124924,GenX,Middle,6.08
20,238457,5.4,12,4.1,2,1,33,4,68110,67109,5,2,6,9,6,7,1,10,4,9,9,Other,Tier 3,Store,135219,0.5037014029093545,GenZ,High,3.5799999999999996
39,239174,8.5,4,6.0,1,1,8,14,10025,127299,2,9,1,7,10,2,7,2,8,3,1,Male,Tier 3,Store,137324,0.0730025341528065,GenX,High,5.0
70,156774,7.8,9,1.4,5,9,25,5,38287,3848,8,8,5,9,9,4,7,10,6,9,2,Other,Tier 3,Online,42135,0.9086744986353388,Silent,Upper-Mid,6.2
19,121732,5.0,3,3.2,9,4,7,15,46394,22500,2,5,7,7,1,5,10,4,1,6,2,Female,Tier 2,Store,68894,0.6734113275466659,GenZ,Middle,5.24
41,30385,4.8,14,1.0,6,3,18,10,119035,18547,7,8,1,2,10,8,2,4,6,4,3,Other,Tier 2,Store,137582,0.8651931211931794,GenX,Low,3.9200000000000004
61,24336,5.7,12,2.3,6,5,25,8,44546,41489,8,6,2,2,10,6,4,2,2,3,8,Female,Tier 1,Store,86035,0.5177660254547568,Boomer,Low,4.9399999999999995
47,80421,3.9,14,5.7,1,7,45,11,10716,25969,6,0,2,8,4,6,4,10,8,2,3,Male,Tier 2,Store,36685,0.292108491208941,GenX,Lower-Mid,4.3
55,177297,5.4,11,3.3,1,7,9,7,132880,135540,4,1,4,9,5,6,1,10,3,4,8,Other,Tier 1,Store,268420,0.4950450786081514,Boomer,Upper-Mid,4.42
19,51021,7.0,12,2.9,4,5,42,16,66778,89620,4,8,2,6,10,6,7,3,1,8,6,Male,Tier 3,Store,156398,0.4269747694983312,GenZ,Low,5.18
77,149854,8.1,14,1.0,2,8,29,11,31420,31294,6,2,6,3,6,4,1,8,9,6,4,Female,Tier 2,Store,62714,0.5010045603852409,Silent,Middle,5.4399999999999995
38,234949,5.2,8,1.7,3,5,39,0,65173,45371,8,7,2,9,10,9,5,2,7,9,6,Other,Tier 3,Store,110544,0.589566145607179,GenX,High,4.02
50,132369,8.8,3,1.4,6,10,35,7,10737,31314,9,6,6,7,1,9,4,4,6,8,9,Male,Tier 1,Online,42051,0.25533281015909254,GenX,Middle,7.0
29,235702,7.3,3,1.2,10,4,30,0,13603,52812,6,5,1,1,3,6,7,4,10,2,3,Female,Tier 1,Store,66415,0.2048181886621998,Millennial,High,5.96
75,64111,7.4,3,3.6,1,6,7,12,48524,1669,3,9,5,9,10,9,1,8,9,2,2,Female,Tier 1,Online,50193,0.9667483513637359,Silent,Lower-Mid,5.08
39,104402,4.2,9,3.4,10,3,41,4,112987,126335,10,7,7,2,2,2,10,5,7,10,5,Female,Tier 2,Store,239322,0.47211288556839737,GenX,Lower-Mid,4.959999999999999
78,134774,9.6,10,2.3,2,4,46,19,82204,119167,4,7,2,5,4,9,10,10,3,8,6,Male,Tier 2,Store,201371,0.4082216406533215,Silent,Middle,5.5
61,230657,7.1,14,1.8,4,8,12,4,35393,74710,5,9,2,7,5,10,5,10,5,7,7,Other,Tier 2,Store,110103,0.32145354804137943,Boomer,High,5.6
42,57719,5.3,3,3.4,6,10,36,7,30975,72627,3,7,3,10,8,8,2,1,3,6,7,Female,Tier 1,Store,103602,0.2989807146580182,GenX,Low,6.0
66,242600,5.0,6,4.7,3,10,29,10,108742,123073,5,0,1,3,9,9,6,2,6,10,3,Female,Tier 3,Store,231815,0.46908957573927484,Silent,High,5.54
44,195109,5.4,11,3.8,9,3,14,19,129743,128262,8,6,2,9,7,3,7,10,3,10,4,Female,Tier 2,Store,258005,0.5028700994166779,GenX,Upper-Mid,5.32
76,226175,4.0,14,2.6,10,10,34,7,7720,121589,4,7,7,3,6,10,5,9,7,5,6,Female,Tier 2,Store,129309,0.059701954233657366,Silent,High,6.12
59,140695,8.0,4,3.7,4,3,2,9,134176,148247,7,1,6,2,9,3,8,9,5,2,2,Other,Tier 1,Store,282423,0.4750887852618236,Boomer,Middle,5.34
45,149585,4.2,14,3.8,7,6,28,4,28170,36288,1,3,6,10,8,10,10,7,7,4,8,Male,Tier 1,Store,64458,0.4370287629153868,GenX,Middle,5.04
77,159407,6.6,2,2.7,5,8,23,19,73135,125311,7,5,6,3,7,8,10,7,5,1,10,Other,Tier 3,Store,198446,0.3685385444906927,Silent,Upper-Mid,5.779999999999999
33,190212,5.1,12,2.7,6,10,44,2,9795,144291,1,3,2,10,7,5,9,9,3,1,6,Male,Tier 1,Store,154086,0.06356839686928079,Millennial,Upper-Mid,5.779999999999999
32,119126,7.3,12,1.8,9,2,22,4,68655,62518,2,1,4,6,9,7,6,7,5,5,9,Female,Tier 2,Store,131173,0.5233927713782562,Millennial,Middle,5.48
79,226445,7.6,3,3.6,9,1,8,14,114331,37757,1,1,3,1,1,5,1,2,1,8,5,Other,Tier 1,Store,152088,0.751742412287623,Silent,High,5.76
79,92658,4.7,5,2.3,6,10,1,13,13016,22135,3,1,5,4,7,8,7,7,1,6,5,Other,Tier 3,Store,35151,0.3702881852578874,Silent,Lower-Mid,5.54
64,180912,5.9,10,1.2,2,1,14,4,31116,55921,8,1,1,4,6,10,1,4,2,3,8,Other,Tier 3,Store,87037,0.3575031308523961,Boomer,Upper-Mid,3.2
79,46007,3.1,4,1.3,9,7,31,1,126467,56756,8,6,5,5,2,10,2,7,1,1,7,Female,Tier 1,Store,183223,0.6902353962111744,Silent,Low,4.7
68,203019,9.4,5,2.4,2,2,17,6,126412,15024,7,8,2,10,7,10,3,6,7,3,7,Female,Tier 2,Hybrid,141436,0.8937752764501259,Silent,High,5.04
61,121833,8.1,13,1.3,2,9,28,6,139574,106040,7,9,7,2,2,8,7,9,2,8,6,Male,Tier 2,Store,245614,0.5682656526093789,Boomer,Middle,5.7
72,133637,3.2,12,6.0,2,10,39,13,74782,66488,5,8,4,1,2,1,1,4,4,1,7,Other,Tier 1,Store,141270,0.5293551355560274,Silent,Middle,4.88
69,135721,4.3,11,3.1,7,4,2,14,108383,117518,10,5,3,9,9,6,6,4,5,8,7,Female,Tier 1,Store,225901,0.4797809659983798,Silent,Middle,4.540000000000001
74,108220,5.7,1,1.9,4,7,32,16,45068,102512,9,9,1,2,3,4,4,6,3,2,7,Other,Tier 1,Store,147580,0.30538013280932375,Silent,Lower-Mid,4.859999999999999
20,41393,6.1,4,2.7,8,5,6,8,5913,42042,1,2,3,8,9,1,4,10,5,5,3,Other,Tier 1,Store,47955,0.12330309665311229,GenZ,Low,5.58
54,72480,4.6,11,3.5,8,5,29,3,52392,93220,4,6,3,3,6,8,3,10,10,7,1,Other,Tier 1,Store,145612,0.35980551053484605,Boomer,Lower-Mid,5.14
68,132243,3.7,10,2.8,1,7,26,15,133331,123696,6,7,3,8,4,5,7,9,2,7,1,Male,Tier 2,Store,257027,0.5187431670602699,Silent,Middle,3.6399999999999997
24,103290,6.8,3,1.3,1,9,37,13,33872,73035,4,8,5,2,7,1,5,5,7,1,6,Other,Tier 2,Store,106907,0.3168361285977532,GenZ,Lower-Mid,4.98
38,232407,9.5,13,2.4,4,4,28,0,52668,123722,2,3,3,3,7,2,8,6,9,5,8,Male,Tier 3,Store,176390,0.2985883553489427,GenX,High,5.88
26,119263,6.1,2,2.2,2,9,30,1,23421,955,2,4,6,4,4,7,8,2,5,5,8,Other,Tier 3,Online,24376,0.960822120118149,Millennial,Middle,5.08
